sentence	bias_score	assertive_verb_count	assertive_verb_prop	bias_count	bias_prop	coherence_marker_count	coherence_marker_prop	degree_modifier_count	degree_modifier_prop	factive_verb_count	factive_verb_prop	flesch-kincaid_grade_level	hedge_word_count	hedge_word_prop	implicative_verb_count	implicative_verb_prop	liwc_3rd_person_pronoum_count	liwc_3rd_person_pronoun_prop	liwc_achievement_word_count	liwc_achievement_word_prop	liwc_adverb_count	liwc_adverb_prop	liwc_auxiliary_verb_count	liwc_auxiliary_verb_prop	liwc_causation_word_count	liwc_causation_word_prop	liwc_certainty_word_count	liwc_certainty_word_prop	liwc_conjunction_count	liwc_conjunction_prop	liwc_discrepency_word_count	liwc_discrepency_word_prop	liwc_preposition_count	liwc_preposition_prop	liwc_tentative_word_count	liwc_tentative_word_prop	liwc_work_word_count	liwc_work_word_prop	modality	mood	opinion_count	opinion_prop	subjective_strong_count	subjective_strong_prop	subjective_weak_count	subjective_weak_prop	subjectivity_score	unique_word_count	vader_composite_sentiment	word_count
that's not i'm not stupid enough to repeat your mistakes. i guess i thought i was protecting you. god, you're just like him! just keep me locked away in the dark, so i can't experience anything for myself not all experiences are good, bianca. you can't always trust the people you want to. i guess i'll never know, will i?	0.0154686676	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	1	0.0154	0	0	3	0.0462	3	0.0462	0	0	3	0.0462	1	0.0154	1	0.0154	5	0.0769	3	0.0462	0	0	0.1827	indicative	0	0	0	0	0	0	0.625	47	0.147	65
"i figured you'd get to the good stuff eventually. what good stuff? the ""real you"". like my fear of wearing pastels?"	0.0034415084	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	1	0.0417	0	0	0	0	0	0	0	0	0	0	2	0.0833	0	0	0	0	0.6389	indicative	0	0	0	0	0	0	0.5	20	0.6662	24
there. where?	-0.0417122	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0	2	0	2
it's more expensive?	-0.0417122	0	0	0	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	0.6	3	0	3
where ya goin? away. your sister here?	-0.0417122	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	2	0.2857	0	0	0	0	0	0	0	0	0	0	1	0.1429	0	0	0	0	1	indicative	0	0	0	0	0	0	0	7	0	7
what've you got for me? i've retrieved certain pieces of information on miss katarina stratford i think you'll find helpful.	-0.0650175996	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0.1304	0	0	0	0	0.6111	conditional	0	0	0	0	0	0	0.5714	20	0.5106	23
how do you get your hair to look like that? eber's deep conditioner every two days. and i never, ever use a blowdryer without the diffuser attachment.	-0.1165447457	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0	0	0	0	2	0.0741	1	0.037	2	0.0741	3	0.1111	2	0.0741	0	0	2	0.0741	0	0	0	0	0.75	imperative	0	0	0	0	0	0	0.4	27	0.1561	27
you know chastity? i believe we share an art instructor	-0.1195448678	0	0	0	0	1	0.1	0	0	0	0	4.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.65	indicative	0	0	0	0	0	0	0	10	0.296	10
"daddy, i want to discuss the prom with you. it's tomorrow night -- the prom?  kat has a date? no, but it's that hot rod joey, right? that ' s who you want me to bend my rules for? he's not a ""hot rod"".  whatever that is. you're not going unless your sister goes.  end of story. fine.  i see that i'm a prisoner in my own house.  i'm not a daughter. i'm a possession!"	-0.1382528661	0	0	0	0	1	0.0127	0	0	0	0	-0.3	0	0	0	0	1	0.0127	0	0	0	0	2	0.0253	0	0	0	0	2	0.0253	2	0.0253	7	0.0886	0	0	2	0.0253	0.3214	indicative	0	0	0	0	0	0	0.7471	54	-0.7005	79
do you listen to this crap? what crap? me.  this endless ...blonde babble. i'm like, boring myself. thank god!  if i had to hear one more story about your coiffure...	-0.1392362739	0	0	0	0	0	0	0	0	0	0	3.7	0	0	0	0	0	0	0	0	1	0.0303	2	0.0606	0	0	0	0	1	0.0303	1	0.0303	3	0.0909	1	0.0303	0	0	0.5	imperative	0	0	0	0	0	0	0.77	28	-0.4314	33
wear the belly before you go. daddy, no! just for a minute	-0.1667106017	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	1	0.0833	0	0	0	0	0	0	0	0	0	0	2	0.1667	0	0	0	0	1	imperative	0	0	0	0	0	0	0	12	-0.3595	12
i have to be home in twenty minutes. i don't have to be home 'til two.	-0.170820825	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	5	0.2941	0	0	0	0	0	0	0	0	3	0.1765	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0	12	0	17
where've you been? nowhere... hi, daddy.	-0.170820825	0	0	0	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	0	0	1	0.125	1	0.125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0	8	0	8
you are so completely unbalanced. can we go now?	-0.170820825	0	0	0	0	0	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	3	0.3333	2	0.2222	0	0	1	0.1111	1	0.1111	0	0	0	0	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0.4	9	0	9
patrick -- is that- a. perm?	-0.170820825	0	0	0	0	0	0	0	0	0	0	-0.7	0	0	0	0	0	0	0	0	0	0	1	0.1667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75	indicative	0	0	0	0	0	0	0	6	0	6
hey -- do you mind? not at all	-0.170820825	0	0	0	0	0	0	0	0	0	0	-3.8	0	0	0	0	0	0	0	0	0	0	1	0.125	0	0	1	0.125	0	0	0	0	1	0.125	0	0	0	0	0.75	imperative	0	0	0	0	0	0	0	8	0	8
you know, if you do go out with bianca, you'd be set.  you'd outrank everyone. strictly a-list.  with me by your side. i thought you hated those people. hey -- i've gotta have a few clients when i get to wall street.	-0.1881998518	0	0	0	0	1	0.0217	0	0	0	0	1.7	0	0	0	0	0	0	0	0	1	0.0217	3	0.0652	0	0	0	0	2	0.0435	1	0.0217	5	0.1087	1	0.0217	0	0	0.7143	conditional	0	0	0	0	0	0	0.4	38	-0.6369	46
i have the potential to smack the crap out of you if you don't get out of my way. can you at least start wearing a bra?	-0.1957282249	0	0	0	0	1	0.0357	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	3	0.1071	0	0	0	0	1	0.0357	1	0.0357	6	0.2143	1	0.0357	0	0	0.25	indicative	0	0	0	0	0	0	0.7333	23	-0.3818	28
so -- which dakota you from? north, actually.  how'd you   ? i was kidding. people actually live there? yeah.  a couple.  we're outnumbered by the cows, though. how many people were in your old school? thirty-two. get out! how many people go here? couple thousand. most of them evil	-0.2200623112	0	0	0	0	0	0	0	0	0	0	3.3	0	0	0	0	1	0.02	0	0	9	0.18	2	0.04	3	0.06	0	0	5	0.1	0	0	5	0.1	1	0.02	0	0	0.5909	conditional	0	0	0	0	0	0	0.4714	42	-0.6503	50
leave my sister alone. and why would i do that?	-0.2244421922	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	0	0	2	0.2	1	0.1	0	0	1	0.1	1	0.1	0	0	0	0	0	0	-0.25	indicative	0	0	0	0	0	0	0	10	-0.296	10
what's the worst? you get the girl.	-0.2589903674	0	0	0	0	0	0	0	0	0	0	-3.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	indicative	0	0	0	0	0	0	1	6	-0.6249	7
can't you forget for just one night that you're completely wretched? at least i'm not a clouted fen- sucked hedge-pig.	-0.2605075457	0	0	0	0	1	0.0435	0	0	0	0	4.8	0	0	0	0	0	0	0	0	2	0.087	0	0	0	0	1	0.0435	0	0	0	0	2	0.087	0	0	0	0	0.25	indicative	0	0	0	0	0	0	0.4	22	0.4847	23
you have my word.  as a gentleman you're sweet.	-0.2695129938	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	1	0.1	0	0	0	0	1	0.1	0	0	1	0.1	0	0	0	0	0.25	indicative	0	0	0	0	0	0	0.65	9	0.4588	10
that i'm used to. yeah, but these guys have never seen a horse.  they just jack off to clint eastwood.	-0.3008720487	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	1	0.0476	0	0	1	0.0476	1	0.0476	1	0.0476	1	0.0476	1	0.0476	0	0	3	0.1429	0	0	0	0	-0.375	indicative	0	0	0	0	0	0	0	20	0.1531	21
did you change your hair? no. you might wanna think about it	-0.3075943729	0	0	0	0	0	0	0	0	0	0	-0.3	0	0	0	0	0	0	0	0	1	0.0769	2	0.1538	1	0.0769	0	0	0	0	0	0	1	0.0769	1	0.0769	0	0	0	conditional	0	0	0	0	0	0	0	12	-0.296	13
let go! you set me up. i just wanted -- what? to completely damage me?  to send me to therapy forever? what? no! i just wanted	-0.3596307457	0	0	0	0	0	0	0	0	0	0	1.7	0	0	0	0	0	0	0	0	3	0.1154	1	0.0385	0	0	2	0.0769	0	0	2	0.0769	4	0.1538	0	0	0	0	0.0833	imperative	0	0	0	0	0	0	0.4	18	-0.804	26
you got something on your mind? i counted on you to help my cause. you and that thug are obviously failing. aren't we ever going on our date?	-0.4112671276	0	0	0	0	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	1	0.0345	2	0.069	0	0	1	0.0345	1	0.0345	0	0	4	0.1379	0	0	0	0	0.4464	indicative	0	0	0	0	0	0	0.5	24	-0.2406	29
well, no... then that's all you had to say. but you always been this selfish?	-0.4513904159	0	0	0	0	0	0	0	0	0	0	-1.1	0	0	0	0	0	0	0	0	1	0.0625	2	0.125	0	0	2	0.125	2	0.125	0	0	1	0.0625	0	0	0	0	0.65	indicative	0	0	0	0	0	0	1	15	-0.6584	16
you told me that part already. hell, i've just been going over the whole thing in my head and -	-0.5796630804	0	0	0	0	0	0	0	0	0	0	0.9	0	0	0	0	0	0	0	0	1	0.0476	1	0.0476	0	0	0	0	1	0.0476	0	0	2	0.0952	0	0	0	0	0.4167	indicative	0	0	0	0	0	0	0.4	21	-0.6808	21
oh my god, does this mean you're becoming normal? it means that gigglepuss is playing at club skunk and we're going. oh, i thought you might have a date  i don't know why i'm bothering to ask, but are you going to bogey lowenstein's party saturday night? what do you think? i think you're a freak.  i think you do this to torture me.  and i think you suck.	-0.633470048	0	0	0	0	0	0	0	0	0	0	2.1	0	0	0	0	0	0	0	0	0	0	9	0.1216	1	0.0135	0	0	3	0.0405	1	0.0135	4	0.0541	1	0.0135	0	0	0.1905	conditional	0	0	0	0	0	0	0.7292	49	-0.8977	74
0	36.9077696935	1	0.0145	0	0	17	0.6168	2	0.0435	0	0	244.3	0	0	0	0	105	3.8313	11	0.3732	135	6.5264	185	7.2564	40	1.1241	35	1.182	137	4.2185	55	1.8844	266	8.4145	56	2.0239	12	0.5693	59.1429	0	0	0	0	0	0	0	43.4528	2305	7.2742	2793
0	0.3690776969	0.01	0.000145	0	0	0.17	0.006168	0.02	0.000435	0	0	2.443	0	0	0	0	1.05	0.038313	0.11	0.003732	1.35	0.065264	1.85	0.072564	0.4	0.011241	0.35	0.01182	1.37	0.042185	0.55	0.018844	2.66	0.084145	0.56	0.020239	0.12	0.005693	0.591429	0	0	0	0	0	0	0	0.434528	23.05	0.072742	27.93
